 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
26,455.584,497.704,0,915,87780,30,0,0,30,0,200.438,287.090,24.778,4.803,0,0,200.438,287.090,24.778,0,0,0,0,0,0
27,739.273,663.943,0,1358,170928,36,0,0,36,0,322.296,229.269,26.356,5.521,0,0,322.296,229.269,26.356,0,0,0,0,0,0
28,303.152,434.092,0,847,60357,31,0,0,31,0,173.270,286.628,26.127,4.176,0,0,173.270,286.627,26.127,0,0,0,0,0,0
29,363.253,409.529,0,871,60658,26,0,0,26,0,294.552,185.192,25.640,4.415,0,0,294.552,185.192,25.640,0,0,0,0,0,0
30,491.862,526.831,0,1098,120042,38,0,0,38,0,294.387,200.692,26.754,4.828,0,0,294.388,200.692,26.754,0,0,0,0,0,0
31,809.806,735.213,0,1574,187236,36,0,0,36,0,137.676,260.762,26.526,5.616,0,0,137.676,260.762,26.526,0,0,0,0,0,0
32,200.077,322.114,0,528,73245,57,0,0,57,0,190.818,315.604,29.612,4.711,0,0,190.818,315.604,29.612,0,0,0,0,0,0
33,393.303,504.586,0,974,123774,49,0,0,49,0,243.413,265.115,29.232,5.114,0,0,243.409,265.114,29.232,0,0,0,0,0,0
34,377.889,518.373,0,947,179598,74,0,0,74,0,192.482,305.470,29.382,5.290,0,0,192.481,305.469,29.382,0,0,0,0,0,0
35,810.117,694.299,0,1469,213323,41,0,0,41,0,250.361,197.576,29.122,5.493,0,0,250.354,197.576,29.122,0,0,0,0,0,0
36,257.842,380.403,0,669,71208,43,0,0,43,0,268.350,255.384,29.193,4.216,0,0,268.351,255.384,29.193,0,0,0,0,0,0
37,175.632,303.152,0,480,43992,39,0,0,39,0,266.131,267.206,27.991,3.790,0,0,266.131,267.206,27.991,0,0,0,0,0,0
38,250.213,333.508,0,613,72315,45,0,0,45,0,216.836,318.808,27.817,3.961,0,0,216.836,318.808,27.817,0,0,0,0,0,0
39,241.494,401.766,0,694,71346,46,0,0,46,0,357.485,173.931,29.464,3.926,0,0,357.485,173.931,29.464,0,0,0,0,0,0
40,1036.508,945.583,0,1828,346164,52,0,0,52,0,269.804,220.783,33.128,6.357,0,0,269.794,220.783,33.128,0,0,0,0,0,0
41,438.612,526.631,0,1027,152118,54,0,0,54,0,289.944,244.101,30.315,4.706,0,0,289.948,244.101,30.315,0,0,0,0,0,0
42,228.259,324.021,0,591,73300,50,0,0,50,0,234.852,267.474,30.087,4.039,0,0,234.852,267.474,30.087,0,0,0,0,0,0
43,605.525,665.253,0,1390,213895,55,0,0,55,0,170.273,311.672,29.998,5.084,0,0,170.278,311.672,29.998,0,0,0,0,0,0
